artifact_tag,SmolVLM_acc,SmolVLM_correct,SmolVLM_wrong,SmolVLM_no_verdict,SmolVLM_total,InternVL2_acc,InternVL2_correct,InternVL2_wrong,InternVL2_no_verdict,InternVL2_total,Janus_acc,Janus_correct,Janus_wrong,Janus_no_verdict,Janus_total,Qwen2-VL_acc,Qwen2-VL_correct,Qwen2-VL_wrong,Qwen2-VL_no_verdict,Qwen2-VL_total,MiniCPM_acc,MiniCPM_correct,MiniCPM_wrong,MiniCPM_no_verdict,MiniCPM_total
Clean,0.6324,43,23,2,68,0.4118,28,16,24,68,0.2059,14,7,47,68,0.6765,46,22,0,68,0.6324,43,25,0,68
Distorted,0.0,0,1,1,2,0.0,0,1,1,2,0.0,0,1,1,2,0.0,0,2,0,2,0.5,1,1,0,2
Glare,0.5,6,5,1,12,0.5,6,4,2,12,0.1667,2,3,7,12,0.75,9,3,0,12,0.5833,7,5,0,12
Glare/ Oblique Angle,0.5,3,3,0,6,0.6667,4,2,0,6,0.0,0,2,4,6,0.8333,5,1,0,6,0.5,3,3,0,6
Low Contrast,0.5,6,6,0,12,0.5,6,4,2,12,0.3333,4,4,4,12,0.5,6,6,0,12,0.5,6,6,0,12
Low Resolution,0.3056,11,25,0,36,0.25,9,7,20,36,0.1111,4,8,24,36,0.8056,29,7,0,36,0.5556,20,16,0,36
Oblique Angle,0.5,15,14,1,30,0.5,15,9,6,30,0.3667,11,7,12,30,0.4333,13,17,0,30,0.4667,14,16,0,30
Oblique Angle/ Low Resolution,0.5,1,1,0,2,1.0,2,0,0,2,0.5,1,1,0,2,0.5,1,1,0,2,1.0,2,0,0,2
Oblique Angle/ Obstruction,0.5,1,1,0,2,0.5,1,1,0,2,0.5,1,1,0,2,0.5,1,1,0,2,0.0,0,2,0,2
Obstruction,0.4,4,5,1,10,0.3,3,4,3,10,0.1,1,5,4,10,0.6,6,4,0,10,0.5,5,5,0,10
Texture Overlap,0.0,0,18,0,18,0.3889,7,2,9,18,0.0556,1,6,11,18,0.9444,17,1,0,18,0.8889,16,2,0,18
Unclear image,0.0,0,2,0,2,0.0,0,1,1,2,0.0,0,1,1,2,0.0,0,2,0,2,0.5,1,1,0,2
